epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,1469.24,0.99349,1.52371,0.87309,0.78698,0.64916,0.71833,0.49756,0.96948,0.81658,0.85291,0.000276501,9.21671e-05,0.000276501,9.21671e-05,0.000276501,9.21671e-05,0.000276501,9.21671e-05
51,1500.3,1.00454,1.52947,0.86789,0.81802,0.65262,0.72685,0.49785,0.98409,0.81422,0.8574,0.000271185,9.0395e-05,0.000271185,9.0395e-05,0.000271185,9.0395e-05,0.000271185,9.0395e-05
52,1530.79,0.98406,1.49712,0.872,0.834,0.65103,0.73867,0.50801,0.97364,0.80632,0.85368,0.000265869,8.86229e-05,0.000265869,8.86229e-05,0.000265869,8.86229e-05,0.000265869,8.86229e-05
53,1559.98,0.98554,1.47915,0.8689,0.82892,0.63743,0.7363,0.513,0.93055,0.7885,0.84854,0.000260552,8.68508e-05,0.000260552,8.68508e-05,0.000260552,8.68508e-05,0.000260552,8.68508e-05
54,1587.01,0.97452,1.4823,0.86911,0.84933,0.64223,0.73898,0.50607,0.98882,0.79511,0.85923,0.000255236,8.50787e-05,0.000255236,8.50787e-05,0.000255236,8.50787e-05,0.000255236,8.50787e-05
55,1612.97,0.97967,1.47751,0.87104,0.8545,0.65735,0.74937,0.52481,0.9445,0.78179,0.84935,0.00024992,8.33066e-05,0.00024992,8.33066e-05,0.00024992,8.33066e-05,0.00024992,8.33066e-05
56,1644.81,0.98916,1.47769,0.86796,0.83287,0.67079,0.75478,0.52359,0.97217,0.78497,0.85559,0.000244603,8.15345e-05,0.000244603,8.15345e-05,0.000244603,8.15345e-05,0.000244603,8.15345e-05
57,1672.23,0.97295,1.4383,0.8721,0.84249,0.6671,0.76496,0.52762,0.98874,0.78363,0.85902,0.000239287,7.97624e-05,0.000239287,7.97624e-05,0.000239287,7.97624e-05,0.000239287,7.97624e-05
58,1702.07,0.97996,1.44465,0.86725,0.85417,0.65833,0.76699,0.5268,0.98093,0.77638,0.85736,0.000233971,7.79903e-05,0.000233971,7.79903e-05,0.000233971,7.79903e-05,0.000233971,7.79903e-05
59,1728.16,0.97163,1.44422,0.87025,0.87829,0.66416,0.77824,0.54483,0.91338,0.76074,0.84589,0.000228655,7.62182e-05,0.000228655,7.62182e-05,0.000228655,7.62182e-05,0.000228655,7.62182e-05
60,1756.62,0.97601,1.41761,0.8673,0.87787,0.66417,0.78097,0.545,0.94731,0.75733,0.85066,0.000223338,7.44461e-05,0.000223338,7.44461e-05,0.000223338,7.44461e-05,0.000223338,7.44461e-05
61,1782.39,0.9697,1.41262,0.86306,0.86827,0.66969,0.78271,0.54441,0.95687,0.7555,0.85199,0.000218022,7.2674e-05,0.000218022,7.2674e-05,0.000218022,7.2674e-05,0.000218022,7.2674e-05
62,1811.29,0.97387,1.41024,0.86901,0.88372,0.66767,0.79216,0.55543,0.94676,0.75086,0.85026,0.000212706,7.09019e-05,0.000212706,7.09019e-05,0.000212706,7.09019e-05,0.000212706,7.09019e-05
63,1839.3,0.97868,1.44288,0.86802,0.78071,0.74054,0.79408,0.55469,0.92794,0.74247,0.84689,0.000207389,6.91298e-05,0.000207389,6.91298e-05,0.000207389,6.91298e-05,0.000207389,6.91298e-05
64,1865.58,0.97125,1.40738,0.868,0.85415,0.69466,0.79712,0.54996,0.95186,0.74659,0.8509,0.000202073,6.73577e-05,0.000202073,6.73577e-05,0.000202073,6.73577e-05,0.000202073,6.73577e-05
65,1896.51,0.95285,1.38335,0.86404,0.7836,0.74735,0.80072,0.55604,0.96766,0.74556,0.85097,0.000196757,6.55856e-05,0.000196757,6.55856e-05,0.000196757,6.55856e-05,0.000196757,6.55856e-05
66,1922.6,0.96753,1.39566,0.865,0.81955,0.74058,0.80161,0.56152,0.93267,0.73486,0.8481,0.00019144,6.38135e-05,0.00019144,6.38135e-05,0.00019144,6.38135e-05,0.00019144,6.38135e-05
67,1951.26,0.96947,1.39193,0.86646,0.82229,0.73675,0.80109,0.56435,0.93393,0.73043,0.84933,0.000186124,6.20414e-05,0.000186124,6.20414e-05,0.000186124,6.20414e-05,0.000186124,6.20414e-05
68,1981.23,0.96565,1.37885,0.86229,0.83362,0.74108,0.8105,0.56526,0.93668,0.72834,0.84788,0.000180808,6.02693e-05,0.000180808,6.02693e-05,0.000180808,6.02693e-05,0.000180808,6.02693e-05
69,2008.11,0.95037,1.37221,0.86458,0.8125,0.7476,0.81069,0.56402,0.95317,0.72564,0.85226,0.000175492,5.84972e-05,0.000175492,5.84972e-05,0.000175492,5.84972e-05,0.000175492,5.84972e-05
70,2036.2,0.95522,1.39509,0.86431,0.84443,0.73959,0.81568,0.56993,0.94827,0.72524,0.85052,0.000170175,5.67251e-05,0.000170175,5.67251e-05,0.000170175,5.67251e-05,0.000170175,5.67251e-05
71,2068.27,0.9568,1.3615,0.86414,0.82937,0.74742,0.81882,0.57306,0.93205,0.71794,0.84631,0.000164859,5.4953e-05,0.000164859,5.4953e-05,0.000164859,5.4953e-05,0.000164859,5.4953e-05
72,2098.71,0.95642,1.36386,0.86487,0.82317,0.7521,0.81894,0.57525,0.9248,0.71394,0.84705,0.000159543,5.31809e-05,0.000159543,5.31809e-05,0.000159543,5.31809e-05,0.000159543,5.31809e-05
73,2127.61,0.94594,1.35017,0.86095,0.81742,0.75225,0.82261,0.5752,0.93072,0.71561,0.84771,0.000154226,5.14088e-05,0.000154226,5.14088e-05,0.000154226,5.14088e-05,0.000154226,5.14088e-05
74,2156.72,0.95398,1.36385,0.86285,0.85763,0.76204,0.82337,0.57502,0.92744,0.71329,0.84977,0.00014891,4.96367e-05,0.00014891,4.96367e-05,0.00014891,4.96367e-05,0.00014891,4.96367e-05
75,2185.85,0.95501,1.34484,0.86546,0.87394,0.74346,0.82556,0.57665,0.92605,0.71083,0.84594,0.000143594,4.78646e-05,0.000143594,4.78646e-05,0.000143594,4.78646e-05,0.000143594,4.78646e-05
76,2215.92,0.95357,1.34685,0.86405,0.88525,0.72913,0.82416,0.57611,0.90566,0.70451,0.84301,0.000138277,4.60925e-05,0.000138277,4.60925e-05,0.000138277,4.60925e-05,0.000138277,4.60925e-05
77,2243.75,0.95746,1.34565,0.8668,0.87605,0.74533,0.82909,0.57806,0.92959,0.70474,0.84641,0.000132961,4.43204e-05,0.000132961,4.43204e-05,0.000132961,4.43204e-05,0.000132961,4.43204e-05
78,2270,0.94597,1.3452,0.85692,0.88051,0.75406,0.83071,0.57994,0.9401,0.70266,0.84759,0.000127645,4.25483e-05,0.000127645,4.25483e-05,0.000127645,4.25483e-05,0.000127645,4.25483e-05
79,2299.24,0.94214,1.33772,0.86364,0.87872,0.75221,0.8308,0.58079,0.92817,0.70048,0.84859,0.000122329,4.07762e-05,0.000122329,4.07762e-05,0.000122329,4.07762e-05,0.000122329,4.07762e-05
80,2325.52,0.95701,1.3624,0.86731,0.88342,0.75119,0.83375,0.58816,0.916,0.69595,0.84481,0.000117012,3.90041e-05,0.000117012,3.90041e-05,0.000117012,3.90041e-05,0.000117012,3.90041e-05
81,2352.42,0.95061,1.33305,0.86083,0.88901,0.75282,0.8338,0.5842,0.93584,0.69846,0.84656,0.000111696,3.7232e-05,0.000111696,3.7232e-05,0.000111696,3.7232e-05,0.000111696,3.7232e-05
82,2383.58,0.93778,1.33791,0.86067,0.88956,0.75168,0.8356,0.58473,0.92523,0.69545,0.84648,0.00010638,3.54599e-05,0.00010638,3.54599e-05,0.00010638,3.54599e-05,0.00010638,3.54599e-05
83,2412.06,0.96231,1.34993,0.86546,0.88316,0.75749,0.83692,0.58652,0.9183,0.69311,0.84513,0.000101063,3.36878e-05,0.000101063,3.36878e-05,0.000101063,3.36878e-05,0.000101063,3.36878e-05
84,2440.29,0.94702,1.321,0.85965,0.85996,0.75592,0.83588,0.58979,0.89746,0.68673,0.84225,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05
85,2470.72,0.94458,1.33168,0.86528,0.86162,0.76395,0.83873,0.59051,0.90989,0.68978,0.84495,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05
86,2495.86,0.94946,1.32175,0.862,0.88161,0.76329,0.83835,0.58993,0.91161,0.69004,0.84429,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05
87,2525.73,0.93837,1.31954,0.85883,0.88462,0.75429,0.83888,0.59326,0.90823,0.68495,0.8438,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05
88,2554.8,0.94375,1.32336,0.86191,0.88348,0.75878,0.84032,0.58907,0.91389,0.68748,0.84462,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05
89,2584.24,0.94248,1.31453,0.8612,0.8889,0.76042,0.8408,0.59202,0.90929,0.6851,0.84445,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05
90,2613.24,0.93552,1.30809,0.85972,0.8777,0.76827,0.84152,0.59181,0.91171,0.68589,0.84391,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05
91,2645.81,0.90727,1.6709,0.86016,0.74905,0.74859,0.78374,0.54001,0.96238,0.77581,0.85494,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05
92,2675.33,0.89453,1.61243,0.85944,0.75342,0.74832,0.77876,0.54008,0.95413,0.7748,0.85339,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05
93,2705.31,0.88124,1.59592,0.85501,0.77866,0.75107,0.78536,0.54435,0.94539,0.76201,0.85196,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05
94,2740.23,0.88154,1.59995,0.85343,0.79835,0.74292,0.79467,0.55218,0.94409,0.75163,0.85067,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05
95,2772.39,0.87801,1.5639,0.85543,0.80726,0.74213,0.80033,0.559,0.93809,0.74269,0.8499,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05
96,2806.38,0.86226,1.54926,0.85418,0.81111,0.75341,0.80512,0.56372,0.93613,0.73553,0.84942,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05
97,2829.38,0.87458,1.5586,0.85371,0.82431,0.74668,0.81234,0.56853,0.93083,0.73109,0.84847,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06
98,2866.47,0.87449,1.56875,0.85346,0.82416,0.74774,0.80932,0.56706,0.93337,0.72998,0.8486,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06
99,2894.95,0.87402,1.54096,0.85358,0.82723,0.74372,0.80974,0.56589,0.93937,0.72797,0.85011,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06
100,2926.33,0.87336,1.53954,0.85381,0.82357,0.74706,0.81215,0.57016,0.935,0.72646,0.84902,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06
