epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,623.246,0.8715,1.34466,0.8392,0.86058,0.69373,0.80031,0.58638,0.79162,0.69593,0.82615,0.000276501,9.21671e-05,0.000276501,9.21671e-05,0.000276501,9.21671e-05,0.000276501,9.21671e-05
51,634.963,0.88326,1.34756,0.83405,0.77949,0.75055,0.80539,0.59222,0.78695,0.68985,0.82514,0.000271185,9.0395e-05,0.000271185,9.0395e-05,0.000271185,9.0395e-05,0.000271185,9.0395e-05
52,647.986,0.87997,1.3386,0.83561,0.83301,0.73346,0.81333,0.59794,0.78764,0.68391,0.8251,0.000265869,8.86229e-05,0.000265869,8.86229e-05,0.000265869,8.86229e-05,0.000265869,8.86229e-05
53,662.235,0.88324,1.34241,0.83761,0.83754,0.75621,0.81727,0.60139,0.78815,0.67481,0.8263,0.000260552,8.68508e-05,0.000260552,8.68508e-05,0.000260552,8.68508e-05,0.000260552,8.68508e-05
54,681.695,0.86575,1.32403,0.83527,0.82738,0.7631,0.81949,0.60335,0.78865,0.6693,0.8257,0.000255236,8.50787e-05,0.000255236,8.50787e-05,0.000255236,8.50787e-05,0.000255236,8.50787e-05
55,700.07,0.8846,1.33515,0.83873,0.83082,0.77346,0.82543,0.60678,0.78681,0.66674,0.8248,0.00024992,8.33066e-05,0.00024992,8.33066e-05,0.00024992,8.33066e-05,0.00024992,8.33066e-05
56,720.198,0.87,1.3148,0.83816,0.84023,0.7791,0.82734,0.60751,0.78304,0.66018,0.82408,0.000244603,8.15345e-05,0.000244603,8.15345e-05,0.000244603,8.15345e-05,0.000244603,8.15345e-05
57,742.46,0.85857,1.28942,0.83493,0.88467,0.75009,0.83129,0.61402,0.78183,0.65601,0.82421,0.000239287,7.97624e-05,0.000239287,7.97624e-05,0.000239287,7.97624e-05,0.000239287,7.97624e-05
58,763.939,0.85284,1.27844,0.83398,0.85253,0.76317,0.83364,0.61459,0.78156,0.65196,0.82497,0.000233971,7.79903e-05,0.000233971,7.79903e-05,0.000233971,7.79903e-05,0.000233971,7.79903e-05
59,790.826,0.87462,1.31095,0.83922,0.85867,0.78275,0.84024,0.62067,0.78005,0.64604,0.82474,0.000228655,7.62182e-05,0.000228655,7.62182e-05,0.000228655,7.62182e-05,0.000228655,7.62182e-05
60,818.083,0.86431,1.29635,0.83742,0.86961,0.7639,0.83873,0.61975,0.77677,0.64429,0.82365,0.000223338,7.44461e-05,0.000223338,7.44461e-05,0.000223338,7.44461e-05,0.000223338,7.44461e-05
61,854.778,0.85882,1.28684,0.83413,0.88438,0.76427,0.84242,0.62436,0.7743,0.63801,0.82347,0.000218022,7.2674e-05,0.000218022,7.2674e-05,0.000218022,7.2674e-05,0.000218022,7.2674e-05
62,900.722,0.8593,1.27474,0.83449,0.8705,0.77119,0.84317,0.62301,0.7717,0.63439,0.82407,0.000212706,7.09019e-05,0.000212706,7.09019e-05,0.000212706,7.09019e-05,0.000212706,7.09019e-05
63,948.558,0.84453,1.24489,0.83074,0.85711,0.77059,0.84292,0.62346,0.77358,0.63136,0.82374,0.000207389,6.91298e-05,0.000207389,6.91298e-05,0.000207389,6.91298e-05,0.000207389,6.91298e-05
64,994.62,0.85327,1.24947,0.83454,0.90564,0.74633,0.84624,0.62482,0.77526,0.63203,0.82415,0.000202073,6.73577e-05,0.000202073,6.73577e-05,0.000202073,6.73577e-05,0.000202073,6.73577e-05
65,1041.49,0.84897,1.25216,0.83322,0.85966,0.79677,0.84852,0.62835,0.7749,0.62538,0.824,0.000196757,6.55856e-05,0.000196757,6.55856e-05,0.000196757,6.55856e-05,0.000196757,6.55856e-05
66,1087.09,0.84985,1.23226,0.83486,0.88124,0.79791,0.85261,0.63077,0.77298,0.62273,0.8234,0.00019144,6.38135e-05,0.00019144,6.38135e-05,0.00019144,6.38135e-05,0.00019144,6.38135e-05
67,1137.58,0.84929,1.22455,0.83546,0.88145,0.79099,0.85181,0.62903,0.77226,0.61993,0.82379,0.000186124,6.20414e-05,0.000186124,6.20414e-05,0.000186124,6.20414e-05,0.000186124,6.20414e-05
68,1186.25,0.84765,1.23754,0.83439,0.89102,0.78352,0.8523,0.6324,0.77186,0.61738,0.82366,0.000180808,6.02693e-05,0.000180808,6.02693e-05,0.000180808,6.02693e-05,0.000180808,6.02693e-05
69,1234.72,0.84427,1.22274,0.82987,0.88468,0.78492,0.85409,0.63273,0.77052,0.61612,0.8234,0.000175492,5.84972e-05,0.000175492,5.84972e-05,0.000175492,5.84972e-05,0.000175492,5.84972e-05
70,1287.39,0.85747,1.22675,0.83024,0.90542,0.77657,0.85618,0.63398,0.77132,0.61365,0.82331,0.000170175,5.67251e-05,0.000170175,5.67251e-05,0.000170175,5.67251e-05,0.000170175,5.67251e-05
71,1336.69,0.85068,1.23636,0.83301,0.89266,0.7853,0.85784,0.63523,0.76894,0.61158,0.82333,0.000164859,5.4953e-05,0.000164859,5.4953e-05,0.000164859,5.4953e-05,0.000164859,5.4953e-05
72,1384.44,0.84922,1.21559,0.83517,0.9052,0.78031,0.85804,0.63629,0.7695,0.61082,0.82335,0.000159543,5.31809e-05,0.000159543,5.31809e-05,0.000159543,5.31809e-05,0.000159543,5.31809e-05
73,1434.71,0.84043,1.21243,0.83406,0.90652,0.7803,0.85884,0.63634,0.76843,0.60942,0.82304,0.000154226,5.14088e-05,0.000154226,5.14088e-05,0.000154226,5.14088e-05,0.000154226,5.14088e-05
74,1486.2,0.83593,1.20363,0.83128,0.88852,0.79068,0.85749,0.63793,0.76737,0.60711,0.82295,0.00014891,4.96367e-05,0.00014891,4.96367e-05,0.00014891,4.96367e-05,0.00014891,4.96367e-05
75,1535.38,0.8566,1.22486,0.83279,0.90636,0.78009,0.85924,0.63563,0.76623,0.60541,0.82285,0.000143594,4.78646e-05,0.000143594,4.78646e-05,0.000143594,4.78646e-05,0.000143594,4.78646e-05
76,1587.16,0.84171,1.2066,0.83225,0.89149,0.79994,0.86162,0.63685,0.76946,0.60654,0.82331,0.000138277,4.60925e-05,0.000138277,4.60925e-05,0.000138277,4.60925e-05,0.000138277,4.60925e-05
77,1641.31,0.85902,1.23193,0.83085,0.89943,0.79617,0.86131,0.6393,0.76594,0.60334,0.82231,0.000132961,4.43204e-05,0.000132961,4.43204e-05,0.000132961,4.43204e-05,0.000132961,4.43204e-05
78,1691.47,0.84767,1.21876,0.83027,0.90721,0.7914,0.8631,0.63871,0.76625,0.60153,0.82271,0.000127645,4.25483e-05,0.000127645,4.25483e-05,0.000127645,4.25483e-05,0.000127645,4.25483e-05
79,1744.27,0.84847,1.20515,0.83355,0.91014,0.7846,0.86377,0.64013,0.76946,0.60287,0.82312,0.000122329,4.07762e-05,0.000122329,4.07762e-05,0.000122329,4.07762e-05,0.000122329,4.07762e-05
80,1797.77,0.83663,1.17522,0.8313,0.90632,0.79926,0.86697,0.64375,0.76653,0.5998,0.82249,0.000117012,3.90041e-05,0.000117012,3.90041e-05,0.000117012,3.90041e-05,0.000117012,3.90041e-05
